,Cerrar,Var neta,Núm de ticks,Volumen,rango,MVA5
10:30 - 11:30,377.2,1.6,1579.0,213044,2.099999999999966,375.5559999999998
11:30 - 12:30,376.95,-0.25,1138.0,151025,1.4800000000000182,376.1759999999998
14:30 - 15:30,375.04,-1.46,2037.0,362742,1.7300000000000182,376.5359999999999
08:30 - 09:30,376.4,1.36,3719.0,555969,3.6999999999999886,376.37599999999986
09:30 - 10:30,375.63,-0.77,1779.0,249190,1.8199999999999932,376.11199999999985
10:30 - 11:30,376.15,0.52,1714.0,248791,2.400000000000034,375.94399999999985
11:30 - 12:30,375.85,-0.3,1149.0,154676,1.2800000000000296,375.81399999999985
14:30 - 15:30,378.66,0.87,2449.0,392251,1.3799999999999955,377.0999999999998
08:30 - 09:30,376.0,-2.66,3060.0,495324,3.3899999999999864,377.0699999999998
09:30 - 10:30,375.66,-0.34,1635.0,222026,1.7799999999999727,377.0319999999998
10:30 - 11:30,376.37,0.71,1277.0,169397,2.319999999999993,376.8959999999998
11:30 - 12:30,376.29,-0.08,1217.0,163831,1.3199999999999932,376.59599999999983
14:30 - 15:30,373.23,1.44,2352.0,397755,2.4700000000000273,374.5879999999998
08:30 - 09:30,369.28,-3.95,4230.0,628530,5.5,373.1699999999998
09:30 - 10:30,368.06,-1.22,2939.0,422340,4.189999999999998,371.5239999999998
10:30 - 11:30,368.83,0.77,1426.0,190789,2.159999999999968,370.2379999999998
11:30 - 12:30,368.05,-0.78,1074.0,138092,1.3600000000000136,369.4899999999998
14:30 - 15:30,368.97,1.34,1675.0,333070,1.4499999999999886,368.5159999999998
08:30 - 09:30,365.1,-3.87,5246.0,1439641,8.149999999999977,367.7699999999998
09:30 - 10:30,364.38,-0.72,3160.0,407612,1.9800000000000182,367.03599999999983
10:30 - 11:30,366.72,2.34,1703.0,238150,2.599999999999966,366.55999999999983
11:30 - 12:30,363.77,-2.95,1383.0,178477,3.25,365.78799999999984
14:30 - 15:30,360.62,0.65,4376.0,1073496,2.430000000000007,362.29999999999984
08:30 - 09:30,351.75,-8.87,6229.0,1000968,9.779999999999973,359.3059999999998
09:30 - 10:30,350.5,-1.25,4777.0,703110,4.099999999999966,356.65199999999976
10:30 - 11:30,349.99,-0.51,3614.0,474214,2.8999999999999773,354.5659999999998
11:30 - 12:30,350.74,0.75,1993.0,256130,2.3999999999999773,352.71999999999974
14:30 - 15:30,351.85,-1.72,2917.0,765710,2.8500000000000227,351.58799999999985
08:30 - 09:30,354.74,2.89,5967.0,845995,5.600000000000023,352.5379999999999
09:30 - 10:30,352.17,-2.57,5401.0,781559,5.860000000000014,352.82399999999984
10:30 - 11:30,350.69,-1.48,3312.0,482955,2.7799999999999727,352.6039999999998
11:30 - 12:30,354.31,3.62,2574.0,376397,4.2099999999999795,352.75199999999984
14:30 - 15:30,354.71,0.45,2578.0,400781,1.6000000000000227,353.70999999999975
08:30 - 09:30,350.82,-3.89,4873.0,742822,7.550000000000011,353.73599999999976
09:30 - 10:30,353.66,2.84,2631.0,400838,3.090000000000032,353.60599999999977
10:30 - 11:30,351.53,-2.13,1609.0,214005,3.170000000000016,352.99599999999975
11:30 - 12:30,348.08,-3.45,2269.0,353554,4.660000000000025,351.7599999999997
14:30 - 15:30,343.41,-2.39,3905.0,749393,2.980000000000018,347.0419999999998
08:30 - 09:30,342.96,-0.45,11635.0,1755650,13.120000000000005,345.32799999999975
09:30 - 10:30,336.75,-6.21,4608.0,706523,6.949999999999989,343.0619999999997
10:30 - 11:30,340.83,4.08,5250.0,834125,7.740000000000009,341.9499999999997
11:30 - 12:30,339.66,-1.17,2259.0,329414,3.4399999999999977,340.7219999999997
14:30 - 15:30,338.47,0.15,3283.0,583147,1.3599999999999568,339.6299999999997
08:30 - 09:30,343.75,5.28,6181.0,926920,4.729999999999961,340.2139999999997
09:30 - 10:30,345.75,2.0,3986.0,628311,3.8000000000000114,341.4319999999997
10:30 - 11:30,342.17,-3.58,1926.0,260545,3.6100000000000136,341.6919999999997
11:30 - 12:30,343.14,0.97,1320.0,179583,2.3999999999999773,342.6559999999997
14:30 - 15:30,338.29,-0.42,2819.0,428558,1.3999999999999773,340.1019999999997
08:30 - 09:30,342.8,4.51,7003.0,987501,4.689999999999998,340.22799999999967
09:30 - 10:30,339.3,-3.5,2767.0,412841,5.0,339.4599999999997
10:30 - 11:30,339.98,0.68,1696.0,223586,1.8199999999999932,339.8159999999997
11:30 - 12:30,338.62,-1.36,1424.0,201919,2.2100000000000364,339.79799999999966
14:30 - 15:30,336.52,0.77,3250.0,635761,1.6800000000000068,337.1939999999997
08:30 - 09:30,342.68,6.16,5980.0,876880,5.930000000000007,337.7339999999997
09:30 - 10:30,342.06,-0.62,2986.0,404824,3.240000000000009,338.4219999999997
10:30 - 11:30,342.89,0.83,2086.0,265239,1.9500000000000455,339.9799999999997
11:30 - 12:30,341.95,-0.94,1690.0,222977,2.3500000000000227,341.2199999999997
14:30 - 15:30,342.99,0.79,4115.0,656910,1.7900000000000205,342.39999999999964
08:30 - 09:30,344.25,1.26,6914.0,1021898,6.610000000000014,342.6719999999997
09:30 - 10:30,344.24,-0.01,3767.0,554679,2.6499999999999773,343.1299999999997
10:30 - 11:30,344.33,0.09,3607.0,519386,3.169999999999959,343.60199999999975
